01012100;CAVALOS REPRODUTORES DE RAÇA PURA
01012900;OUTROS CAVALOS VIVOS
01013000;ASININOS VIVOS
01019000;OUTROS MUARES VIVOS
01022110;BOVINOS DOMÉST.REPROD.D/RAÇA PURA,PRENHES OU C/CRIA AO
01022190;OUTROS BOVINOS REPRODUTORES DE RAÇA PURA
01022911;OUTROS BOVINOS P/REPRODUÇÃO, PRENHES OU C/CRIA AO PÉ
01022919;OUTROS BOVINOS DOMÉSTICOS PARA REPRODUÇÃO
01023110;BÚFALOS REPROD.DE RAÇA PURA, PRENHES OU C/CRIA AO PÉ
01023190;OUTROS BÚFALOS REPRODUTORES DE RAÇA PURA
01023911;OUTROS BÚFALOS P/REPRODUÇÃO, PRENHES OU C/CRIA AO PÉ
01023919;OUTROS BÚFALOS PARA REPRODUÇÃO
01023990;OUTROS BÚFALOS VIVOS
01029000;OUTROS ANIMAIS VIVOS DA ESPÉCIE BOVINA
01031000;REPRODUTORES DA ESPÉCIE SUÍNA DE RAÇA PURA
01039200;OUTS.SUÍNOS REPROD.PESO IGUAL OU SUP 50 KG
01041011;OVINOS REP.RAÇA PURA,PRENHE OU C/CRIA AO PÉ
01041019;OUTROS OVINOS REPRODUTORES DE RAÇA PURA
01041090;OUTROS ANIMAIS DA ESPÉCIE OVINA
01042010;CAPRINOS REPRODUTORES DE RAÇA PURA
01042090;OUTS.CAPRINOS REPRODUTORES DE RAÇA PURA
01051110;GALO E GALINHA REP.RAÇA PUR/ HIBRI.Ñ SUP.185G
01051190;OUTROS GALOS E GALINHAS NÃO SUPERIOR A 185G
01051200;PERUAS E PERUS, PESO NÃO SUPERIOR A 185G
01051300;PATOS DOMÉSTICOS, VIVOS DE PESO INFERIOR A 185G
01051400;GANSOS DOMÉSTICOS, VIVOS DE PESO INFERIOR A 185G
01051500;GALINHAS D'ANGOLA (PINTADAS) DOMEST.VIVAS D/PESO INF.A
01059400;Galos e galinhas de peso ñ superior a 185g
01059900;OUTRAS AVES DAS ESP.DOMÉSTICAS,PESO >185G
01061100;MAMÍFEROS PRIMATAS VIVOS
01061200;BALEIAS,GOLF.,BOTOS;PEIXES-BOIS,DUDONG;OTÁRIAS,FOCAS,ET
01061300;CAMELOS E OUTROS CAMELÍDIOS VIVOS
01061900;OUTROS MAMÍFEROS VIVOS
01062000;RÉPTEIS,SERPENTES E TARTAR.MARINHAS,VIVOS
01063100;AVES DE RAPINA VIVAS
01063200;PSITACIFORMES(PAP.PER.ARARAS,CACATUAS)VIVO
01063310;AVESTRUZES (STRUTHIO CAMELUS) PARA REPRODUÇÃO
01063390;OUTROS AVESTRUZES VIVOS
01063900;OUTRAS AVES VIVAS
01064100;ABELHAS VIVAS
01069000;OUTROS ANIMAIS VIVOS
02011000;CARCAÇAS E MEIAS-CARCS. DE BOV., FRESC.REFR.
02012010;QUARTOS DIANT. BOV. Ñ DESOSS. FRESC.OU REFR.
02012020;QUARTOS TRAZ.BOV.Ñ DESOSS.FRESC.OU REFRIG.
02012090;OUTS CARNES BOV.Ñ DESOSS.FRESC OU REFRIG.
02013000;OUTS CARNES BOV. DESOSS.FRESC OU REFRIG.
02021000;CARCAÇAS E MEIAS-CARCAÇAS DE BOVINOS,CONG.
02022010;QUART.DIANTEIRO DE BOVINO NÃO DESOSS., CONG.
02022020;QUART.TRASEIRO DE BOVINO NÃO DESOSS., CONG.
02022090;OUTRAS CARNES BOV. NÃO DESOSS.,CONGELADAS
02023000;CARNES DE BOVINO DESOSSADAS, CONGELADAS
02031100;CARCS E MEIAS-CARCS. DE SUÍNOS, FRESC., REFR.
02031200;PERNA E PEDAÇO Ñ DESOS. SUÍNOS, FRESC.,REFR.
02031900;OUTRAS CARNES DE SUÍNOS, FRESCAS OU REFRIG.
02032100;CARCS. E MEIAS-CARCS. DE SUÍNOS, CONGELADAS
02032200;PERNA E PEDAÇO Ñ DESOS. SUÍNOS, CONGELADOS
02032900;OUTRAS CARNES DE SUÍNO,CONGELADAS
02041000;CARCS.E MEIAS-CARCS D/CORDEIRO,FRESC.,REFR.
02042100;CARCS.E MEIAS-CARCS.DE OVINOS,FRESC.REFRIG.
02042200;OUTRAS PEÇAS Ñ DESOSS.D/OVINOS,FRESC.REFR.
02042300;PÇS DESOSSADAS D/OVINOS,FRESCAS OU REFRIG.
02043000;CARCS. E MEIAS-CARCS. DE CORDEIRO,CONG.
02044100;CARCS. E MEIAS-CARCS. OUTS.OVINOS,CONG.
02044200;OUTS.PÇS NÃO DESOSS.DE OVINOS,CONGELADAS
02044300;PEÇAS DESOSSADAS DE OVINOS,CONGELADAS
02045000;CARNES DE CAPRINOS,FRESC.,REFRIG.OU CONG.
02050000;CARNE CAVALO,ASININA,MUAR,FRESC.REF.,CONG.
02061000;MIUDEZAS DE BOVINOS,FRESCAS/REFRIGERADAS
02062100;LÍNGUAS DE BOVINOS CONGELADAS
02062200;FÍGADOS DE BOVINOS CONGELADOS
02062910;RABOS DE BOVINOS CONGELADOS
02062990;OUTRAS MIUDEZAS COMESTÍVEIS., D/BOVINO,CONG.
